contractid|providerid|priority|vodtype
1029|tsn.com|TVOD|SVOD
1033|DXD|P2|SVOD
1062|www.vmmi.ca|TVOD|TVOD
1073|BELLTV|TVOD|TVOD
1074|OWN|P2|SVOD
1074|OWN|P2|SVOD
1096|DJE|P2|SVOD
1100|hollywoodsuite.ca|P2|SVOD
1124|www.foxmovies.com|TVOD|TVOD
1133|ABCSPRK|P2|SVOD
1136|astral.com|P3|SVOD
1139|www.foxmovies.com|TVOD|TVOD
1140|amctv.com|P1|SVOD
1148|tva.ca|P1|SVOD
1149|tva.ca|P1|SVOD
1150|tva.ca|P1|SVOD
1151|tva.ca|P1|SVOD
1152|tva.ca|P1|SVOD
1153|foodnetwork.ca|P3|SVOD
1154|HGTV.ca|P2|SVOD
1155|history.ca|P2|SVOD
1156|natgeotv.ca|P2|SVOD
1159|tlc.com|P2|SVOD
1160|americanheroes.com|P3|SVOD
1166|evasion.tv|P3|SVOD
1175|www.cartouche.ca|TVOD|TVOD
1178|www.niagara.ca|TVOD|TVOD
1180|aetv.com|P2|SVOD
1182|toone.ca|P2|SVOD
1183|tooneFR.ca|P2|SVOD
1184|cartoon.ca|P2|SVOD
1185|tooneFR_jr.ca|P2|SVOD
1186|MPIX|P2|SVOD
1193|Show.com|P2|SVOD
1194|slice.ca|P2|SVOD
1195|OneSpec_Test.com|TEST|SVOD
1197|astral.com|P3|SVOD
1203|Vnetwork|P1|SVOD
1206|astral.com|P3|SVOD
1207|astral.com|P3|SVOD
1208|astral.com|P3|SVOD
1209|astral.com|P3|SVOD
1210|astral.com|P3|SVOD
1211|astral.com|P3|SVOD
1213|test.ca|TVOD|TVOD
1214|astral.com|P3|SVOD
1215|zeste.tv|P2|SVOD
1217|AdultSwim.ca|P2|SVOD
1225|ARTV|P2|SVOD
1226|RDI|P3|SVOD
1233|cbc.ca|P1|SVOD
1234|cbc.ca|P1|SVOD
1235|cbc.ca|P1|SVOD
1245|lifetime.com|P3|SVOD
1246|h2.com|P3|SVOD
1248|www.adamandeve.com|TVOD|TVOD
1249|tfo.org|P3|SVOD
1250|Explora.com|P3|SVOD
1254|SUP|P1|SVOD
1258|YTV|P2|SVOD
1259|TREE|P2|SVOD
1261|www.vivid.com|TVOD|TVOD
1263|www.lionsgate.com|TVOD|TVOD
1265|www.lionsgate.com|TVOD|TVOD
1268|www.vvs.ca|TVOD|TVOD
1277|www.phase4.com|TVOD|TVOD
1280|tmn.ca|P1|SVOD
1283|www.plaidbagmedia.com|TVOD|TVOD
1286|www.tvafilms.com|TVOD|TVOD
1295|AllianceFR_VOD|TVOD|TVOD
1305|www.venus.ca|TVOD|TVOD
1310|bravo.com|P2|SVOD
1311|tvasports.ca|P3|SVOD
1315|karaoke.com|P3|SVOD
1316|fibetv1.ca|P1|SVOD
1317|aetv.com|P2|SVOD
1318|www.gravitas.com|TVOD|TVOD
1320|WILDTV|P3|SVOD
1321|astral.com|P3|SVOD
