prodid,TCSassetid,FIBEAssetID,vcmassetid,FONSEAssetID,IPVODAssetID,title,providContractId,contract,licensestart,licenseEnd,PriorityContractId,Future,FIBE,ALIANT,FONSE,IPVOD,VCM,VSPP,categories,tcsduration,Valid Contract,Valid Asset,Ingestion State
70VA,4AM9V,4AM9V,75Y7V,,75Y6V,Dreamcatcher,warnerbros.com,592,2014/03/09 00:00,2049/12/31 00:00,TVOD,NO,YES,YES,NO,YES,YES,NO,"English/Movies/By Genre/Drama,English/Movies/Alphabetical/C-F",0,YES,YES,
FWSL,BD4ZT,BD4ZT,BD54T,BD52T01,BD53T,S.01 E.04 - The L Word,craveessential.com,2127,2018/10/14 00:00,2034/02/02 00:00,P1,NO,YES,YES,YES,YES,YES,YES,"Subscription/Movies & Series/Crave/Dramas/A-Z/The L Word/Season 1,Subscription/Movies & Series/Crave/More/LGBTQ/The L Word/Season 1,Subscription/Movies & Series/Crave/More/Leading Women/The L Word/Season 1,Subscription/Movies & Series/Crave/Showtime/A-Z/The L Word/Season 1,Subscription/Movies & Series/Crave/Showtime/Series/The L Word/Season 1",0,YES,YES,FINISHED
G8PF,CZTCT,CZTCT,CZTHT,CZTFT01,CZTGT,S.02 E.02 - Cold Water Cowboys,craveessential.com,2127,2018/11/01 00:00,2034/02/02 00:00,P1,YES,YES,YES,YES,YES,YES,YES,"Subscription/Movies & Series/Crave/Dramas/Action & Adventure/Cold Water Cowboys/Season 2,Subscription/Movies & Series/Crave/More/All-Canadian/Cold Water Cowboys/Season 2,Subscription/Movies & Series/Crave/More/Discovery/Cold Water Cowboys/Season 2,Subscription/Movies & Series/Crave/More/Reality TV/Cold Water Cowboys/Season 2",0,YES,YES,FINISHED
76G3,4J8PV,4J8PV,N/A,N/A,N/A,24 - S4 E.16 - 10:00p.m. - 11:00p.m.,N/A,1468,2014/06/12 00:01,2049/12/31 23:59,N/A,YES,,,,,,,,0,NO,,N/A
BMX1,PBV4V,PBV4V,PBV9V,PBV7V01,PBV8V,Topsy and Tim - S.02 E.02,familyjr,1668,2016/07/10 04:00,2021/03/01 04:59,P2,NO,YES,YES,YES,YES,YES,YES,Subscription/Family & Kids/Family Jr. On Demand/Topsy & Tim,0,YES,YES,FINISHED
EG14,4CF3T,4CF3T,,,,S.30 E.03 - How It's Made,discovery.ca,1641,2017/09/25 01:00,2019/09/14 19:00,P2,NO,NO,NO,NO,NO,NO,NO,,0,YES,YES,
FRHA,AL4ZT,AL4ZT,AL54T,AL52T01,AL53T,S.02 E.01 - Masters of Sex,craveessential.com,2127,2018/10/14 00:00,2034/02/02 00:00,P1,NO,YES,YES,YES,YES,YES,YES,"Subscription/Movies & Series/Crave/Dramas/A-Z/Masters of Sex/Season 2,Subscription/Movies & Series/Crave/More/Based on a Book/Masters of Sex/Season 2,Subscription/Movies & Series/Crave/More/Historic TV/Masters of Sex/Season 2,Subscription/Movies & Series/Crave/More/LGBTQ/Masters of Sex/Season 2,Subscription/Movies & Series/Crave/More/Leading Women/Masters of Sex/Season 2,Subscription/Movies & Series/Crave/Showtime/A-Z/Masters of Sex/Season 2",0,YES,YES,FINISHED
FUEY,B0FLT,B0FLT,B0FQT,B0FOT01,B0FPT,S.01 E.10 - The Detour,craveessential.com,2127,2018/10/14 00:00,2034/02/02 00:00,P1,NO,YES,YES,YES,YES,YES,YES,"Subscription/Movies & Series/Crave/Comedies/A-Z/The Detour/Season 1,Subscription/Movies & Series/Crave/Comedies/Sitcoms/The Detour/Season 1",0,YES,YES,FINISHED
9I52,F008V,F008V,F00DV,F00BV01,F00CV,Heidi Fleiss: The Would-Be Madam of Crystal,crave.ca,1521,2015/08/21 00:00,2034/02/02 00:00,P1,NO,YES,YES,YES,YES,YES,YES,"Subscription/Movies & Series/CraveTV/Documentaries/Heidi Fleiss: The Would-Be Madam of Crystal,Subscription/Movies & Series/CraveTV/HBO/HBO Documentary Films/Heidi Fleiss: The Would-Be Madam of Crystal,Subscription/Movies & Series/CraveTV/HBO/A-Z/Heidi Fleiss: The Would-Be Madam of Crystal",0,YES,YES,FINISHED
48D9,0XR1V,0XR1V,N/A,N/A,N/A,Stuart Little,N/A,596,2012/06/01 00:00,2035/12/31 23:59,N/A,NO,,,,,,,,0,NO,,N/A
AIBU,JYFAV,JYFAV,N/A,N/A,N/A,S.02 E.01 The Leftovers V.F.,N/A,894,2016/01/08 22:00,2019/06/23 23:58,N/A,NO,,,,,,,,0,YES,NO,N/A
