prodid,TCSassetid,FIBEAssetID,vcmassetid,FONSEAssetID,IPVODAssetID,title,contract,licensestart,licenseend,FUTURE,FIBE,ALIANT,FONSE,IPVOD,VCM,VSPP,categories
1OA2,04A7V,04A7V,T6EIV,FONSEAssetID,T6EHV,S.05 E.09 Big Love,1665,2016/12/06 00:00,2018/09/30 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
1OCD,04AQV,04AQV,ABJCV,FONSEAssetID,,All Dogs Go To Heaven 2,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OCG,04ARV,04ARV,ABJDV,FONSEAssetID,,At First Sight,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OCM,04ATV,04ATV,ABJEV,FONSEAssetID,,Body of Evidence - Unrated,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OCP,04AUV,04AUV,ABJFV,FONSEAssetID,,Bright Lights Big City,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1ODA,04B0V,04B0V,ABJGV,FONSEAssetID,,Dominick and Eugene,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1ODG,04B2V,04B2V,ABJHV,FONSEAssetID,,Eight Men Out,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1ODM,04B4V,04B4V,ABJIV,FONSEAssetID,,Getting Even With Dad,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OEA,04BCV,04BCV,7N6RV,FONSEAssetID,,The Mighty Quinn,584,2009/09/12 00:00,2049/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OEM,04BGV,04BGV,ABJLV,FONSEAssetID,,Dances With Wolves,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OF2,04BJV,04BJV,7N75V,FONSEAssetID,,Uptown Girls,584,2009/09/12 00:00,2049/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OF5,04BKV,04BKV,ABINV,FONSEAssetID,,For A Few Dollars More,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OF8,04BLV,04BLV,ABIOV,FONSEAssetID,,Get Shorty,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OFH,04BMV,04BMV,7N6NV,FONSEAssetID,,The Good The Bad The Ugly,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OG2,04BRV,04BRV,622XV,FONSEAssetID,,Married To The Mob,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OG5,04BSV,04BSV,622ZV,FONSEAssetID,,Mermaids,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OG8,04BTV,04BTV,6233V,FONSEAssetID,,Mr.Mom,584,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OGB,04BUV,04BUV,ABITV,FONSEAssetID,,Hannibal,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OGE,04BVV,04BVV,ABIAV,FONSEAssetID,,Hart's War,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OGQ,04BZV,04BZV,960TV,FONSEAssetID,,"Legally Blonde 2 : Red, White and Blonde ",594,2009/09/12 00:00,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OGT,04C0V,04C0V,ABIDV,FONSEAssetID,,Leaving Las Vegas,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OGW,04C1V,04C1V,ABIEV,FONSEAssetID,,Mad Max,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OH6,04C2V,04C2V,61WYV,FONSEAssetID,,Mulholland Falls,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OH9,04C3V,04C3V,623JV,FONSEAssetID,,No Way Out,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
